City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,291.18,51,18,6.9,ZA,1712912018
1,hithadhoo,-0.6,73.0833,300.15,89,99,12.4,MV,1712912020
2,stanley,54.868,-1.6985,286.32,83,75,2.06,GB,1712912022
3,tromso,69.6496,18.957,277.16,70,20,5.66,NO,1712912024
4,adamstown,-25.066,-130.1015,295.15,52,100,4.93,PN,1712911944
5,invercargill,-46.4,168.35,280.38,89,97,1.79,NZ,1712912028
6,port-aux-francais,-49.35,70.2167,279.86,93,100,9.07,TF,1712911857
7,lionel town,17.8101,-77.2406,301.09,89,88,2.71,JM,1712912031
8,fortuna,40.5982,-124.1573,280.89,94,100,0.0,US,1712912033
9,dartmouth,44.6713,-63.5772,278.15,95,100,3.13,CA,1712912035
10,ushuaia,-54.8,-68.3,280.96,87,20,9.26,AR,1712912038
11,tucuma,-0.1833,-50.05,298.47,92,100,1.9,BR,1712912040
12,trinidad,-14.8333,-64.9,295.26,98,100,2.22,BO,1712912041
13,praya,14.9215,-23.5087,294.45,73,20,3.09,CV,1712912043
14,constantia,44.1833,28.65,296.53,63,29,6.47,RO,1712912044
15,blackmans bay,-43.0167,147.3167,288.22,69,91,3.05,AU,1712912045
16,usevia,-7.1,31.2333,298.3,82,82,3.1,TZ,1712912047
17,qiziltepa,40.0331,64.85,298.9,34,100,1.63,UZ,1712912048
18,klaksvik,62.2266,-6.589,281.66,86,91,11.38,FO,1712912050
19,albany,42.6001,-73.9662,289.76,81,100,2.24,US,1712912052
20,zaozersk,69.4005,32.4476,272.04,87,99,2.79,RU,1712912053
21,polyarnyy,69.1989,33.4478,272.28,83,99,4.41,RU,1712912054
22,nassau,40.7507,-73.5829,290.4,92,100,12.35,US,1712911679
23,albertina,-22.2008,-46.6158,291.47,95,99,2.25,BR,1712912057
24,puerto natales,-51.7236,-72.4875,275.06,93,36,1.83,CL,1712911909
25,sinabang,2.4803,96.3801,303.44,67,100,2.06,ID,1712912060
26,talnakh,69.4865,88.3972,256.6,88,100,5.64,RU,1712912062
27,brookings,44.3114,-96.7984,277.14,86,0,3.09,US,1712912063
28,bethel,41.3712,-73.414,290.62,89,100,4.63,US,1712912065
29,tiksi,71.6872,128.8694,253.83,83,43,9.21,RU,1712912066
30,petropavlovsk-kamchatsky,53.0452,158.6483,276.48,93,0,2.0,RU,1712912068
31,magadan,59.5667,150.8,268.62,94,35,0.9,RU,1712912069
32,morondava,-20.2833,44.2833,302.7,47,67,4.03,MG,1712912071
33,fortaleza,-3.7227,-38.5247,298.83,94,75,3.6,BR,1712912072
34,bamboo flat,11.7,92.7167,307.2,52,20,5.14,IN,1712912074
35,whitehorse,60.7161,-135.0538,275.58,30,75,6.69,CA,1712912076
36,thompson,55.7435,-97.8558,271.24,80,100,2.57,CA,1712912078
37,ribeira grande,38.5167,-28.7,289.69,88,20,1.54,PT,1712912080
38,hawaiian paradise park,19.5933,-154.9731,294.84,98,75,2.57,US,1712911950
39,guerrero negro,27.9769,-114.0611,288.9,84,100,3.6,MX,1712911609
40,barabinsk,55.3571,78.357,275.04,61,100,5.89,RU,1712912084
41,waitangi,-43.9535,-176.5597,289.72,95,99,4.47,NZ,1712912086
42,edinburgh of the seven seas,-37.0676,-12.3116,292.02,93,72,8.35,SH,1712912088
43,west island,-12.1568,96.8225,303.14,70,40,4.12,CC,1712912090
44,fale old settlement,-9.3852,-171.2468,303.07,73,100,3.66,TK,1712912091
45,mawlaik,23.6333,94.4167,310.77,13,77,2.72,MM,1712912093
46,songjianghe,42.1859,127.479,289.85,50,99,4.33,CN,1712912095
47,portland,45.5234,-122.6762,282.87,92,100,0.45,US,1712911937
48,kone,-21.0595,164.8658,295.11,90,100,1.41,NC,1712912099
49,grytviken,-54.2811,-36.5092,273.02,80,98,4.41,GS,1712912101
50,ilulissat,69.2167,-51.1,266.16,79,100,4.12,GL,1712912102
51,cabinda,-5.55,12.2,301.82,72,100,2.07,AO,1712912104
52,yaren,-0.5472,166.916,301.45,77,91,2.67,NR,1712912105
53,wailua homesteads,22.0669,-159.378,295.59,93,100,9.77,US,1712912107
54,fort mcmurray,56.7268,-111.381,281.92,36,100,5.14,CA,1712912109
55,cidreira,-30.1811,-50.2056,293.13,88,100,7.82,BR,1712912111
56,najran,17.4924,44.1277,306.51,30,24,2.93,SA,1712912113
57,qal'ah-ye shahr,35.5473,65.5676,281.28,65,100,2.92,AF,1712912114
58,saldanha,-33.0117,17.9442,295.18,47,4,3.49,ZA,1712912116
59,saint-francois,46.4154,3.9054,288.51,76,0,0.0,FR,1712912118
60,kerikeri,-35.2268,173.9474,289.77,87,10,2.14,NZ,1712912120
61,jamestown,42.097,-79.2353,287.6,99,100,4.12,US,1712912122
62,klyuchi,52.2667,79.1667,277.57,56,96,4.58,RU,1712912123
63,kajansi,0.2081,32.5222,297.53,60,62,4.08,UG,1712912125
64,sur,22.5667,59.5289,307.43,35,99,0.93,OM,1712912127
65,morrope,-6.5417,-80.0111,296.21,80,76,5.32,PE,1712912129
66,tosya,41.0155,34.0401,289.02,55,50,2.73,TR,1712912131
67,puerto ayora,-0.7393,-90.3518,297.34,99,16,0.89,EC,1712911901
68,el calafate,-50.3408,-72.2768,278.26,60,0,2.08,AR,1712912136
69,bandundu,-3.3167,17.3667,304.42,59,100,1.54,CD,1712912138
70,puerto baquerizo moreno,-0.9,-89.6,297.9,88,16,4.02,EC,1712912140
71,longyearbyen,78.2186,15.6401,258.06,61,0,3.6,SJ,1712912142
72,teruel,40.6667,-0.6667,288.15,31,0,1.52,ES,1712912143
